Distance_Run#9_(cm), Pressure_Run#9_(atm), Mass_density_Run#9_(g/cm3), Axial_velocity_Run#9_(cm/sec), Cross-section_area_Run#9_(cm2), Net_heat_production_from_gas-phase_reactions_Run#9_(erg/cm3-sec), EINO_Run#9_(g-NO/kg-fuel), EINO2_Run#9_(g-NO2/kg-fuel), EINOX_Run#9_(g-NOx/kg-fuel), EICO_Run#9_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#9_(), Temperature_Run#9_(K), Mole_fraction_H2_Run#9_(), Mole_fraction_H_Run#9_(), Mole_fraction_O_Run#9_(), Mole_fraction_O2_Run#9_(), Mole_fraction_OH_Run#9_(), Mole_fraction_H2O_Run#9_(), Mole_fraction_HO2_Run#9_(), Mole_fraction_H2O2_Run#9_(), Mole_fraction_CO_Run#9_(), Mole_fraction_CO2_Run#9_(), Mole_fraction_HCO_Run#9_(), Mole_fraction_CH2O_Run#9_(), Mole_fraction_N_Run#9_(), Mole_fraction_NH_Run#9_(), Mole_fraction_NNH_Run#9_(), Mole_fraction_NO_Run#9_(), Mole_fraction_N2O_Run#9_(), Mole_fraction_N2_Run#9_(), Flow_rate_Run#9_(g/cm2-sec), Molecular_weight_Run#9_(g/mole)
4.968031e+000, 9.999997e-001, 1.042635e-003, 1.147113e+002, 1.000000e+000, 1.208648e+007, 1.190676e-012, 4.355555e-004, 4.355555e-004, 7.244603e-006, 9.959890e-001, 3.082409e+002, 8.266599e-002, 1.527965e-008, 2.187972e-007, 1.279595e-001, 3.586687e-008, 3.900747e-004, 3.462611e-005, 1.862884e-005, 3.070690e-001, 1.297067e-004, 1.098362e-011, 1.141918e-009, 3.332732e-013, 2.334720e-015, 1.448646e-018, 5.125317e-010, 3.606198e-012, 4.817322e-001, 1.196020e-001, 2.637184e+001
4.969062e+000, 9.999997e-001, 1.028362e-003, 1.163034e+002, 1.000000e+000, 3.345855e+007, 5.788450e-012, 5.578662e-004, 5.578662e-004, 8.676769e-006, 9.952692e-001, 3.130704e+002, 8.088996e-002, 5.701015e-008, 3.249169e-007, 1.281107e-001, 1.148909e-007, 5.491986e-004, 5.163835e-005, 2.605949e-005, 3.075225e-001, 2.060248e-004, 4.131157e-011, 1.822963e-009, 5.001527e-013, 6.265847e-015, 8.321034e-018, 7.756279e-010, 5.754277e-012, 4.826434e-001, 1.196020e-001, 2.641837e+001
4.969578e+000, 9.999997e-001, 1.019068e-003, 1.173640e+002, 1.000000e+000, 6.047809e+007, 1.035856e-011, 6.354481e-004, 6.354481e-004, 9.479797e-006, 9.948225e-001, 3.162166e+002, 7.995977e-002, 1.198201e-007, 4.050314e-007, 1.281695e-001, 2.237100e-007, 6.551938e-004, 6.358396e-005, 3.083537e-005, 3.077374e-001, 2.624616e-004, 8.717658e-011, 2.329370e-009, 6.142327e-013, 1.039738e-014, 1.631199e-017, 9.678231e-010, 7.351394e-012, 4.831205e-001, 1.196020e-001, 2.644272e+001
4.970094e+000, 9.999997e-001, 1.008011e-003, 1.186515e+002, 1.000000e+000, 1.084653e+008, 2.518446e-011, 7.258465e-004, 7.258465e-004, 1.033408e-005, 9.942993e-001, 3.199865e+002, 7.900821e-002, 2.409765e-007, 5.117821e-007, 1.282099e-001, 4.282363e-007, 7.841537e-004, 7.859103e-005, 3.646845e-005, 3.079360e-001, 3.365701e-004, 1.762799e-010, 2.997337e-009, 7.559045e-013, 1.821486e-014, 4.370712e-017, 1.218352e-009, 9.459485e-012, 4.836089e-001, 1.196020e-001, 2.646762e+001
4.970609e+000, 9.999997e-001, 9.949736e-004, 1.202062e+002, 1.000000e+000, 1.939853e+008, 4.953654e-011, 8.303970e-004, 8.303971e-004, 1.122502e-005, 9.936839e-001, 3.244892e+002, 7.804130e-002, 4.746220e-007, 6.559503e-007, 1.282260e-001, 8.130449e-007, 9.404381e-004, 9.723387e-005, 4.301354e-005, 3.081112e-001, 4.333720e-004, 3.492426e-010, 3.874556e-009, 9.294593e-013, 3.053460e-014, 9.534167e-017, 1.545793e-009, 1.222886e-011, 4.841055e-001, 1.196020e-001, 2.649292e+001
4.971125e+000, 9.999997e-001, 9.797586e-004, 1.220729e+002, 1.000000e+000, 3.445133e+008, 1.059673e-010, 9.504977e-004, 9.504979e-004, 1.213625e-005, 9.929574e-001, 3.298461e+002, 7.706606e-002, 9.176452e-007, 8.532849e-007, 1.282105e-001, 1.529137e-006, 1.128966e-003, 1.200264e-004, 5.047666e-005, 3.082544e-001, 5.590106e-004, 6.794681e-010, 5.020738e-009, 1.142766e-012, 5.169167e-014, 2.276298e-016, 1.974771e-009, 1.585115e-011, 4.846072e-001, 1.196020e-001, 2.651848e+001
4.971641e+000, 9.999997e-001, 9.622040e-004, 1.243000e+002, 1.000000e+000, 6.039073e+008, 2.206142e-010, 1.087535e-003, 1.087536e-003, 1.304969e-005, 9.920983e-001, 3.361884e+002, 7.609036e-002, 1.737877e-006, 1.126726e-006, 1.281557e-001, 2.836977e-006, 1.355164e-003, 1.472767e-004, 5.879060e-005, 3.083560e-001, 7.208203e-004, 1.295099e-009, 6.509574e-009, 1.402693e-012, 8.534393e-014, 5.322298e-016, 2.537566e-009, 2.056187e-011, 4.851102e-001, 1.196020e-001, 2.654409e+001
4.972156e+000, 9.999997e-001, 9.422098e-004, 1.269377e+002, 1.000000e+000, 1.038601e+009, 4.605462e-010, 1.242722e-003, 1.242722e-003, 1.394840e-005, 9.910824e-001, 3.436523e+002, 7.512252e-002, 3.214399e-006, 1.509327e-006, 1.280529e-001, 5.165568e-006, 1.624851e-003, 1.788810e-004, 6.779242e-005, 3.084055e-001, 9.272870e-004, 2.410476e-009, 8.430483e-009, 1.718914e-012, 1.379996e-013, 1.255126e-015, 3.275641e-009, 2.665076e-011, 4.856104e-001, 1.196020e-001, 2.656959e+001
4.972672e+000, 9.999997e-001, 9.197638e-004, 1.300355e+002, 1.000000e+000, 1.742603e+009, 9.560926e-010, 1.416807e-003, 1.416808e-003, 1.481846e-005, 9.898835e-001, 3.523727e+002, 7.417080e-002, 5.790514e-006, 2.047748e-006, 1.278936e-001, 9.180775e-006, 1.944024e-003, 2.140875e-004, 7.721166e-005, 3.083916e-001, 1.187836e-003, 4.366606e-009, 1.088971e-008, 2.102759e-012, 2.172908e-013, 2.958734e-015, 4.240577e-009, 3.446693e-011, 4.861038e-001, 1.196020e-001, 2.659479e+001
4.972930e+000, 9.999997e-001, 9.076170e-004, 1.317758e+002, 1.000000e+000, 2.246699e+009, 1.386007e-009, 1.512166e-003, 1.512169e-003, 1.524200e-005, 9.892047e-001, 3.572552e+002, 7.370400e-002, 7.745669e-006, 2.399811e-006, 1.277894e-001, 1.218531e-005, 2.124590e-003, 2.324596e-004, 8.194244e-005, 3.083564e-001, 1.342345e-003, 5.852924e-009, 1.236960e-008, 2.325751e-012, 2.703577e-013, 4.579058e-015, 4.831909e-009, 3.918584e-011, 4.863464e-001, 1.196020e-001, 2.660721e+001
4.973187e+000, 9.999997e-001, 8.948656e-004, 1.336536e+002, 1.000000e+000, 2.868510e+009, 1.995116e-009, 1.612817e-003, 1.612820e-003, 1.565666e-005, 9.884670e-001, 3.625129e+002, 7.324496e-002, 1.026302e-005, 2.819017e-006, 1.276670e-001, 1.603280e-005, 2.320411e-003, 2.510455e-004, 8.663129e-005, 3.083000e-001, 1.515364e-003, 7.770802e-009, 1.404508e-008, 2.572116e-012, 3.334359e-013, 7.045148e-015, 5.508273e-009, 4.454308e-011, 4.865854e-001, 1.196020e-001, 2.661947e+001
4.973445e+000, 9.999997e-001, 8.815437e-004, 1.356734e+002, 1.000000e+000, 3.626392e+009, 2.866532e-009, 1.718453e-003, 1.718458e-003, 1.606212e-005, 9.876666e-001, 3.681584e+002, 7.279445e-002, 1.347792e-005, 3.317041e-006, 1.275255e-001, 2.090097e-005, 2.532186e-003, 2.694752e-004, 9.122143e-005, 3.082208e-001, 1.708301e-003, 1.022094e-008, 1.593631e-008, 2.845318e-012, 4.083900e-013, 1.082967e-014, 6.279201e-009, 5.061184e-011, 4.868204e-001, 1.196020e-001, 2.663156e+001
4.973703e+000, 9.999997e-001, 8.676947e-004, 1.378388e+002, 1.000000e+000, 4.537827e+009, 4.101619e-009, 1.828671e-003, 1.828677e-003, 1.645842e-005, 9.868004e-001, 3.742016e+002, 7.235310e-002, 1.754737e-005, 3.906954e-006, 1.273638e-001, 2.698303e-005, 2.760539e-003, 2.873349e-004, 9.565657e-005, 3.081177e-001, 1.922492e-003, 1.332015e-008, 1.806426e-008, 3.148371e-012, 4.960922e-013, 1.659153e-014, 7.154426e-009, 5.747019e-011, 4.870509e-001, 1.196020e-001, 2.664347e+001
4.974219e+000, 9.999997e-001, 8.386744e-004, 1.426084e+002, 1.000000e+000, 6.836812e+009, 8.206838e-009, 2.058654e-003, 2.058667e-003, 1.722099e-005, 9.848641e-001, 3.874877e+002, 7.149850e-002, 2.876876e-005, 5.403447e-006, 1.269793e-001, 4.336659e-005, 3.267871e-003, 3.200234e-004, 1.039018e-004, 3.078372e-001, 2.417532e-003, 2.184144e-008, 2.308556e-008, 3.854348e-012, 7.120467e-013, 3.810069e-014, 9.243761e-009, 7.377865e-011, 4.874981e-001, 1.196020e-001, 2.666671e+001
4.974734e+000, 9.999997e-001, 8.084030e-004, 1.479485e+002, 1.000000e+000, 9.866938e+009, 1.611044e-008, 2.297823e-003, 2.297847e-003, 1.795593e-005, 9.826521e-001, 4.023368e+002, 7.067916e-002, 4.572586e-005, 7.435336e-006, 1.265133e-001, 6.672799e-005, 3.843202e-003, 3.457910e-004, 1.110257e-004, 3.074567e-001, 3.003860e-003, 3.459022e-008, 2.922785e-008, 4.729893e-012, 9.892619e-013, 8.579646e-014, 1.183551e-008, 9.403647e-011, 4.879270e-001, 1.196020e-001, 2.668921e+001
4.975250e+000, 9.999997e-001, 7.774429e-004, 1.538402e+002, 1.000000e+000, 1.360454e+010, 3.084380e-008, 2.542075e-003, 2.542122e-003, 1.867934e-005, 9.801587e-001, 4.187006e+002, 6.989265e-002, 7.038030e-005, 1.013847e-005, 1.259650e-001, 9.814451e-005, 4.487192e-003, 3.622379e-004, 1.168295e-004, 3.069748e-001, 3.684841e-003, 5.283638e-008, 3.662219e-008, 5.830916e-012, 1.334377e-012, 1.880209e-013, 1.498770e-008, 1.189862e-010, 4.883376e-001, 1.196020e-001, 2.671100e+001
4.976281e+000, 9.999997e-001, 7.156998e-004, 1.671119e+002, 1.000000e+000, 2.231523e+010, 1.007982e-007, 3.024194e-003, 3.024349e-003, 2.011379e-005, 9.743639e-001, 4.555338e+002, 6.839644e-002, 1.489318e-004, 1.794385e-005, 1.246343e-001, 1.855055e-004, 5.971963e-003, 3.640825e-004, 1.243353e-004, 3.057235e-001, 5.321899e-003, 1.088121e-007, 5.534809e-008, 8.941070e-012, 2.255617e-012, 7.951573e-013, 2.307377e-008, 1.850719e-010, 4.891109e-001, 1.196020e-001, 2.675282e+001
4.976797e+000, 9.999997e-001, 6.861679e-004, 1.743043e+002, 1.000000e+000, 2.708079e+010, 1.739799e-007, 3.265672e-003, 3.265939e-003, 2.088604e-005, 9.711394e-001, 4.754993e+002, 6.766410e-002, 2.088122e-004, 2.341337e-005, 1.238688e-001, 2.391097e-004, 6.801499e-003, 3.534854e-004, 1.263701e-004, 3.049826e-001, 6.251912e-003, 1.495179e-007, 6.659963e-008, 1.131451e-011, 2.887363e-012, 1.546259e-012, 2.807140e-008, 2.282595e-010, 4.894797e-001, 1.196020e-001, 2.677308e+001
4.977312e+000, 9.999997e-001, 6.578401e-004, 1.818101e+002, 1.000000e+000, 3.172101e+010, 2.887155e-007, 3.511211e-003, 3.511654e-003, 2.170214e-005, 9.677125e-001, 4.963441e+002, 6.693625e-002, 2.843466e-004, 3.012616e-005, 1.230391e-001, 2.970812e-004, 7.687784e-003, 3.368613e-004, 1.272680e-004, 3.041713e-001, 7.251696e-003, 1.989350e-007, 7.908951e-008, 1.447369e-011, 3.680000e-012, 2.872790e-012, 3.379085e-008, 2.799141e-010, 4.898379e-001, 1.196020e-001, 2.679300e+001
4.977828e+000, 9.999997e-001, 6.309578e-004, 1.895562e+002, 1.000000e+000, 3.604166e+010, 4.609443e-007, 3.764394e-003, 3.765101e-003, 2.256143e-005, 9.641170e-001, 5.178705e+002, 6.620577e-002, 3.769711e-004, 3.826791e-005, 1.221531e-001, 3.567089e-004, 8.626506e-003, 3.165448e-004, 1.271118e-004, 3.033015e-001, 8.309681e-003, 2.569528e-007, 9.261106e-008, 1.870630e-011, 4.697406e-012, 5.100998e-012, 4.029120e-008, 3.413362e-010, 4.901875e-001, 1.196020e-001, 2.681264e+001
4.978344e+000, 9.999997e-001, 6.056588e-004, 1.974742e+002, 1.000000e+000, 3.991857e+010, 7.088639e-007, 4.029725e-003, 4.030812e-003, 2.345702e-005, 9.603869e-001, 5.398932e+002, 6.546681e-002, 4.876566e-004, 4.807645e-005, 1.212186e-001, 4.154541e-004, 9.613306e-003, 2.945700e-004, 1.259753e-004, 3.023850e-001, 9.413979e-003, 3.231120e-007, 1.068731e-007, 2.439332e-011, 6.030056e-012, 8.666311e-012, 4.764915e-008, 4.139893e-010, 4.905301e-001, 1.196020e-001, 2.683206e+001
