Distance_Run#1_(cm), Pressure_Run#1_(atm), Mass_density_Run#1_(g/cm3), Axial_velocity_Run#1_(cm/sec), Cross-section_area_Run#1_(cm2), Net_heat_production_from_gas-phase_reactions_Run#1_(erg/cm3-sec), EINO_Run#1_(g-NO/kg-fuel), EINO2_Run#1_(g-NO2/kg-fuel), EINOX_Run#1_(g-NOx/kg-fuel), EICO_Run#1_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#1_(), Temperature_Run#1_(K), Mole_fraction_H2_Run#1_(), Mole_fraction_H_Run#1_(), Mole_fraction_O_Run#1_(), Mole_fraction_O2_Run#1_(), Mole_fraction_OH_Run#1_(), Mole_fraction_H2O_Run#1_(), Mole_fraction_HO2_Run#1_(), Mole_fraction_H2O2_Run#1_(), Mole_fraction_CO_Run#1_(), Mole_fraction_CO2_Run#1_(), Mole_fraction_HCO_Run#1_(), Mole_fraction_CH2O_Run#1_(), Mole_fraction_NO_Run#1_(), Mole_fraction_NO2_Run#1_(), Mole_fraction_N2O_Run#1_(), Mole_fraction_N2_Run#1_(), Flow_rate_Run#1_(g/cm2-sec), Molecular_weight_Run#1_(g/mole)
4.956688e+000, 9.999997e-001, 1.048744e-003, 5.334888e+001, 1.000000e+000, 1.430513e+006, 4.017052e-014, 2.375240e-003, 2.375240e-003, 2.110695e-007, 9.892330e-001, 3.198728e+002, 4.307700e-002, 2.678519e-010, 6.560998e-008, 1.601967e-001, 2.732796e-009, 1.042379e-003, 1.741693e-005, 2.012000e-005, 1.916658e-001, 3.866346e-004, 8.995937e-014, 2.844387e-010, 4.700360e-009, 1.249270e-008, 2.052466e-010, 6.035939e-001, 5.594933e-002, 2.752738e+001
4.958750e+000, 9.999997e-001, 1.023232e-003, 5.467902e+001, 1.000000e+000, 2.929037e+006, 1.396857e-013, 2.956183e-003, 2.956183e-003, 2.366765e-007, 9.869280e-001, 3.283731e+002, 4.137810e-002, 8.382555e-010, 1.065062e-007, 1.602803e-001, 7.068693e-009, 1.411205e-003, 2.583285e-005, 2.721787e-005, 1.916454e-001, 5.856247e-004, 2.847244e-013, 4.320889e-010, 7.113691e-009, 1.765268e-008, 3.118982e-010, 6.046462e-001, 5.594933e-002, 2.757146e+001
4.959781e+000, 9.999997e-001, 1.007372e-003, 5.553990e+001, 1.000000e+000, 4.400418e+006, 7.963883e-014, 3.325699e-003, 3.325699e-003, 2.496047e-007, 9.854761e-001, 3.338196e+002, 4.049741e-002, 1.863463e-009, 1.400384e-007, 1.602846e-001, 1.300085e-008, 1.647807e-003, 3.186724e-005, 3.165358e-005, 1.915836e-001, 7.266809e-004, 6.370613e-013, 5.369373e-010, 8.899113e-009, 2.098384e-008, 3.877268e-010, 6.051962e-001, 5.594933e-002, 2.759432e+001
4.960813e+000, 9.999997e-001, 9.891398e-004, 5.656362e+001, 1.000000e+000, 6.852598e+006, 7.390112e-013, 3.756334e-003, 3.756334e-003, 2.625027e-007, 9.837694e-001, 3.402597e+002, 3.960151e-002, 4.421685e-009, 1.871026e-007, 1.602530e-001, 2.516666e-008, 1.927474e-003, 3.959258e-005, 3.677725e-005, 1.914752e-001, 9.059189e-004, 1.521628e-012, 6.703144e-010, 1.124207e-008, 2.491308e-008, 4.842988e-010, 6.057603e-001, 5.594933e-002, 2.761762e+001
4.961844e+000, 9.999997e-001, 9.684027e-004, 5.777486e+001, 1.000000e+000, 1.126615e+007, 1.698027e-012, 4.258369e-003, 4.258369e-003, 2.749047e-007, 9.817636e-001, 3.478440e+002, 3.869482e-002, 1.131357e-008, 2.544104e-007, 1.601764e-001, 5.190624e-008, 2.256310e-003, 4.947394e-005, 4.261036e-005, 1.913106e-001, 1.132309e-003, 3.916919e-012, 8.389382e-010, 1.433185e-008, 2.945904e-008, 6.065574e-010, 6.063372e-001, 5.594933e-002, 2.764131e+001
4.962875e+000, 9.999997e-001, 9.450879e-004, 5.920013e+001, 1.000000e+000, 1.983004e+007, 5.536050e-012, 4.845190e-003, 4.845190e-003, 2.867304e-007, 9.794092e-001, 3.567346e+002, 3.778209e-002, 3.029104e-008, 3.525954e-007, 1.600445e-001, 1.131462e-007, 2.640717e-003, 6.207426e-005, 4.913175e-005, 1.910790e-001, 1.416321e-003, 1.054040e-011, 1.050672e-009, 1.842810e-008, 3.458513e-008, 7.603074e-010, 6.069257e-001, 5.594933e-002, 2.766531e+001
4.963906e+000, 9.999997e-001, 9.192027e-004, 6.086724e+001, 1.000000e+000, 3.737764e+007, 1.764908e-011, 5.533787e-003, 5.533787e-003, 2.977143e-007, 9.766520e-001, 3.671023e+002, 3.686830e-002, 8.188859e-008, 4.987455e-007, 1.598459e-001, 2.558230e-007, 3.087235e-003, 7.802585e-005, 5.625759e-005, 1.907687e-001, 1.769929e-003, 2.859515e-011, 1.314543e-009, 2.388635e-008, 4.016604e-008, 9.522400e-010, 6.075247e-001, 5.594933e-002, 2.768959e+001
4.964937e+000, 9.999997e-001, 8.908495e-004, 6.280447e+001, 1.000000e+000, 7.404685e+007, 5.633139e-011, 6.344504e-003, 6.344504e-003, 3.077206e-007, 9.734339e-001, 3.791216e+002, 3.595832e-002, 2.169398e-007, 7.206020e-007, 1.595687e-001, 5.863829e-007, 3.602347e-003, 9.793287e-005, 6.381942e-005, 1.903676e-001, 2.206484e-003, 7.585798e-011, 1.640727e-009, 3.118809e-008, 4.594686e-008, 1.189921e-009, 6.081332e-001, 5.594933e-002, 2.771411e+001
4.965969e+000, 9.999997e-001, 8.602377e-004, 6.503938e+001, 1.000000e+000, 1.494971e+008, 1.765875e-010, 7.299108e-003, 7.299108e-003, 3.167380e-007, 9.696943e-001, 3.929635e+002, 3.505668e-002, 5.511963e-007, 1.063360e-006, 1.592003e-001, 1.332280e-006, 4.192247e-003, 1.221574e-004, 7.154522e-005, 1.898630e-001, 2.740412e-003, 1.924576e-010, 2.040431e-009, 4.096805e-008, 5.150352e-008, 1.481734e-009, 6.087506e-001, 5.594933e-002, 2.773887e+001
4.966484e+000, 9.999997e-001, 8.441403e-004, 6.627965e+001, 1.000000e+000, 2.162823e+008, 3.163995e-010, 7.846041e-003, 7.846042e-003, 3.208593e-007, 9.676034e-001, 4.006373e+002, 3.461056e-002, 8.840060e-007, 1.308038e-006, 1.589770e-001, 2.031018e-006, 4.517825e-003, 1.358215e-004, 7.532828e-005, 1.895666e-001, 3.050067e-003, 3.079790e-010, 2.272778e-009, 4.709735e-008, 5.396859e-008, 1.651669e-009, 6.090625e-001, 5.594933e-002, 2.775135e+001
