Distance_Run#8_(cm), Pressure_Run#8_(atm), Mass_density_Run#8_(g/cm3), Axial_velocity_Run#8_(cm/sec), Cross-section_area_Run#8_(cm2), Net_heat_production_from_gas-phase_reactions_Run#8_(erg/cm3-sec), EINO_Run#8_(g-NO/kg-fuel), EINO2_Run#8_(g-NO2/kg-fuel), EINOX_Run#8_(g-NOx/kg-fuel), EICO_Run#8_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#8_(), Temperature_Run#8_(K), Mole_fraction_H2_Run#8_(), Mole_fraction_H_Run#8_(), Mole_fraction_O_Run#8_(), Mole_fraction_O2_Run#8_(), Mole_fraction_OH_Run#8_(), Mole_fraction_H2O_Run#8_(), Mole_fraction_HO2_Run#8_(), Mole_fraction_H2O2_Run#8_(), Mole_fraction_CO_Run#8_(), Mole_fraction_CO2_Run#8_(), Mole_fraction_HCO_Run#8_(), Mole_fraction_CH2O_Run#8_(), Mole_fraction_N_Run#8_(), Mole_fraction_NH_Run#8_(), Mole_fraction_NNH_Run#8_(), Mole_fraction_NO_Run#8_(), Mole_fraction_N2O_Run#8_(), Mole_fraction_N2_Run#8_(), Flow_rate_Run#8_(g/cm2-sec), Molecular_weight_Run#8_(g/mole)
0.000000e+000, 9.999997e-001, 1.074650e-003, 1.063941e+002, 1.000000e+000, 1.679014e-002, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 9.662577e-002, 3.340317e-019, 1.199974e-019, 1.288344e-001, 8.928279e-020, 7.166706e-014, -1.890532e-013, 9.684636e-014, 2.898773e-001, 2.775382e-015, 4.386300e-020, 6.215426e-020, 8.160295e-020, 9.590245e-020, 5.752179e-020, -2.623141e-019, 4.380827e-020, 4.846626e-001, 1.143364e-001, 2.601401e+001
2.475250e+000, 9.999997e-001, 1.074651e-003, 1.063940e+002, 1.000000e+000, 3.125557e-004, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 9.662513e-002, 2.228714e-022, 2.247220e-017, 1.288344e-001, 8.224886e-022, 8.042270e-011, -2.296447e-010, 1.184348e-010, 2.898775e-001, 4.444553e-012, 8.166829e-025, 3.024346e-017, 3.785606e-022, 2.480842e-023, 1.245311e-026, -3.924235e-016, 2.274121e-019, 4.846629e-001, 1.143364e-001, 2.601402e+001
4.851490e+000, 9.999997e-001, 1.074853e-003, 1.063740e+002, 1.000000e+000, 3.962872e+002, -1.513131e-016, -4.290460e-005, -4.290460e-005, 1.248279e-007, 9.999619e-001, 2.950052e+002, 9.642367e-002, -2.278254e-017, 6.933612e-013, 1.288637e-001, -2.021488e-016, 8.492416e-008, -2.622322e-007, 1.361691e-007, 2.899418e-001, 6.696406e-009, -1.496850e-020, 4.560640e-014, -4.632639e-020, 2.979200e-020, -1.650896e-024, -4.527469e-013, 2.263917e-016, 4.847708e-001, 1.143364e-001, 2.601938e+001
4.900995e+000, 9.999997e-001, 1.075455e-003, 1.063145e+002, 1.000000e+000, 3.417825e+002, 1.771848e-015, 9.227460e-006, 9.227460e-006, 3.497105e-007, 9.998291e-001, 2.950505e+002, 9.572492e-002, -5.873145e-015, 1.975525e-010, 1.289649e-001, -5.392152e-014, 1.058190e-006, -2.174124e-007, 1.767682e-007, 2.901644e-001, 1.158201e-007, -3.827873e-018, 8.021890e-013, 1.243159e-017, 1.288892e-018, 8.685090e-023, 4.374600e-013, 4.125579e-015, 4.851446e-001, 1.143364e-001, 2.603794e+001
4.950500e+000, 9.999997e-001, 1.077981e-003, 1.060654e+002, 1.000000e+000, 9.197516e+003, -2.429330e-015, 6.762615e-005, 6.762615e-005, 1.106895e-006, 9.987797e-001, 2.959740e+002, 9.034316e-002, 1.225761e-012, 5.737330e-009, 1.297428e-001, 9.063930e-012, 2.391004e-005, 1.014676e-006, 1.163851e-006, 2.918680e-001, 3.724003e-006, 7.991771e-016, 2.615882e-011, 1.550142e-015, 3.333688e-017, -8.547255e-022, 2.301246e-011, 1.339784e-013, 4.880162e-001, 1.143364e-001, 2.618078e+001
4.958750e+000, 9.999997e-001, 1.075636e-003, 1.062966e+002, 1.000000e+000, 1.349522e+005, 1.654449e-014, 1.432495e-004, 1.432495e-004, 2.050467e-006, 9.978678e-001, 2.979124e+002, 8.603444e-002, 2.648845e-011, 2.560872e-008, 1.303561e-001, 1.811583e-010, 7.736678e-005, 4.317020e-006, 3.569753e-006, 2.932053e-001, 1.550402e-005, 1.731115e-014, 1.100765e-010, 2.477622e-014, 1.443231e-016, 1.021534e-020, 8.554628e-011, 5.626641e-013, 4.903034e-001, 1.143364e-001, 2.629493e+001
4.962875e+000, 9.999997e-001, 1.067732e-003, 1.070834e+002, 1.000000e+000, 8.692863e+005, 1.407457e-014, 2.555092e-004, 2.555092e-004, 3.286900e-006, 9.969391e-001, 3.012600e+002, 8.224516e-002, 2.602441e-010, 6.481639e-008, 1.308710e-001, 1.396354e-009, 1.778185e-004, 1.127696e-005, 8.218232e-006, 2.943378e-001, 4.462438e-005, 1.712927e-013, 3.196592e-010, 9.433513e-014, 4.206491e-016, 1.252306e-020, 2.198823e-010, 1.630401e-012, 4.923040e-001, 1.143364e-001, 2.639501e+001
4.964937e+000, 9.999997e-001, 1.057401e-003, 1.081297e+002, 1.000000e+000, 3.069473e+006, 1.400162e-013, 3.725503e-004, 3.725503e-004, 4.397612e-006, 9.961827e-001, 3.049729e+002, 7.970881e-002, 1.832565e-009, 1.159954e-007, 1.311848e-001, 6.669829e-009, 2.960752e-004, 2.046403e-005, 1.370331e-005, 2.950515e-001, 8.745575e-005, 1.216758e-012, 6.304469e-010, 1.964008e-013, 1.102786e-015, 1.557629e-019, 4.008474e-010, 3.211542e-012, 4.936371e-001, 1.143364e-001, 2.646178e+001
4.967000e+000, 9.999997e-001, 1.037837e-003, 1.101680e+002, 1.000000e+000, 1.353235e+007, 1.485076e-012, 5.619351e-004, 5.619351e-004, 5.957909e-006, 9.950473e-001, 3.116526e+002, 7.668764e-002, 1.517628e-008, 2.240521e-007, 1.314991e-001, 3.968236e-008, 5.183305e-004, 3.960170e-005, 2.390785e-005, 2.958263e-001, 1.845116e-004, 1.019973e-011, 1.339438e-009, 4.093077e-013, 4.187344e-015, 2.149870e-018, 7.867887e-010, 6.816427e-012, 4.952203e-001, 1.143364e-001, 2.654106e+001
4.968031e+000, 9.999997e-001, 1.022160e-003, 1.118576e+002, 1.000000e+000, 3.755403e+007, 5.757807e-012, 7.074386e-004, 7.074386e-004, 6.940981e-006, 9.942334e-001, 3.169578e+002, 7.500463e-002, 6.342719e-008, 3.343697e-007, 1.316254e-001, 1.355678e-007, 7.006179e-004, 5.710039e-005, 3.188199e-005, 2.962007e-001, 2.778751e-004, 4.295980e-011, 2.025926e-009, 5.981771e-013, 1.033658e-014, 9.721181e-018, 1.155205e-009, 1.030673e-011, 4.961013e-001, 1.143364e-001, 2.658512e+001
