Distance_Run#12_(cm), Pressure_Run#12_(atm), Mass_density_Run#12_(g/cm3), Axial_velocity_Run#12_(cm/sec), Cross-section_area_Run#12_(cm2), Net_heat_production_from_gas-phase_reactions_Run#12_(erg/cm3-sec), EINO_Run#12_(g-NO/kg-fuel), EINO2_Run#12_(g-NO2/kg-fuel), EINOX_Run#12_(g-NOx/kg-fuel), EICO_Run#12_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#12_(), Temperature_Run#12_(K), Mole_fraction_H2_Run#12_(), Mole_fraction_H_Run#12_(), Mole_fraction_O_Run#12_(), Mole_fraction_O2_Run#12_(), Mole_fraction_OH_Run#12_(), Mole_fraction_H2O_Run#12_(), Mole_fraction_HO2_Run#12_(), Mole_fraction_H2O2_Run#12_(), Mole_fraction_CO_Run#12_(), Mole_fraction_CO2_Run#12_(), Mole_fraction_HCO_Run#12_(), Mole_fraction_CH2O_Run#12_(), Mole_fraction_N_Run#12_(), Mole_fraction_NH_Run#12_(), Mole_fraction_NNH_Run#12_(), Mole_fraction_NO_Run#12_(), Mole_fraction_N2O_Run#12_(), Mole_fraction_N2_Run#12_(), Flow_rate_Run#12_(g/cm2-sec), Molecular_weight_Run#12_(g/mole)
0.000000e+000, 9.999997e-001, 1.057272e-003, 1.221191e+002, 1.000000e+000, 1.332575e-002, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 1.109566e-001, 2.740357e-019, 8.156047e-020, 1.167964e-001, 7.356331e-020, 8.356244e-015, 4.822585e-016, 2.908087e-016, 3.328699e-001, 2.487234e-016, 3.617498e-020, 3.870896e-020, 6.721366e-020, 7.900413e-020, 4.742560e-020, 5.078534e-020, 3.599329e-020, 4.393771e-001, 1.291132e-001, 2.559334e+001
2.475250e+000, 9.999997e-001, 1.057273e-003, 1.221191e+002, 1.000000e+000, 2.571794e-006, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 1.109564e-001, 4.895487e-023, 5.795970e-018, 1.167965e-001, 1.822993e-022, 1.064737e-011, 6.647648e-013, 4.035324e-013, 3.328699e-001, 4.518092e-013, -6.354005e-025, 5.204546e-018, -2.993269e-022, -1.182532e-023, -1.168414e-026, 4.707280e-018, -5.507190e-020, 4.393772e-001, 1.291132e-001, 2.559335e+001
4.851490e+000, 9.999997e-001, 1.057362e-003, 1.221088e+002, 1.000000e+000, 9.471088e-002, 2.210232e-016, 1.509923e-006, 1.509923e-006, 1.284029e-007, 9.999869e-001, 2.950010e+002, 1.108716e-001, 2.385256e-018, 2.027543e-013, 1.168078e-001, 7.387215e-018, 1.276527e-008, 8.622841e-010, 5.269528e-010, 3.329016e-001, 7.719285e-010, 2.085529e-021, 9.344561e-015, 2.448220e-020, 3.797624e-021, 9.517986e-025, 6.288835e-015, 1.520596e-017, 4.394191e-001, 1.291132e-001, 2.559560e+001
4.900995e+000, 9.999997e-001, 1.057693e-003, 1.220706e+002, 1.000000e+000, 3.416850e+001, -1.305138e-015, 4.611930e-006, 4.611930e-006, 3.597396e-007, 9.999347e-001, 2.950121e+002, 1.105333e-001, 1.123445e-015, 7.395783e-011, 1.168529e-001, 4.084786e-015, 1.788449e-007, 1.303276e-008, 7.976628e-009, 3.330276e-001, 1.494366e-008, 9.547916e-019, 1.845048e-013, 6.563325e-019, 9.829589e-020, -2.805949e-023, 9.589907e-014, 2.078173e-016, 4.395860e-001, 1.291132e-001, 2.560457e+001
4.950500e+000, 9.999997e-001, 1.060039e-003, 1.218004e+002, 1.000000e+000, 2.051662e+003, 1.671393e-015, 1.601944e-005, 1.601944e-005, 1.148251e-006, 9.994745e-001, 2.952609e+002, 1.075750e-001, 2.315727e-013, 2.526115e-009, 1.172475e-001, 1.292760e-012, 4.582002e-006, 3.614855e-007, 2.223099e-007, 3.341278e-001, 5.426802e-007, 1.968748e-016, 6.817515e-012, 2.285726e-016, 3.884090e-018, 2.899571e-022, 2.687886e-012, 7.583513e-015, 4.410440e-001, 1.291132e-001, 2.568301e+001
4.958750e+000, 9.999997e-001, 1.060938e-003, 1.216972e+002, 1.000000e+000, 1.894081e+004, -3.417030e-015, 3.383381e-005, 3.383381e-005, 2.238576e-006, 9.990447e-001, 2.958295e+002, 1.048851e-001, 4.064030e-012, 1.123805e-008, 1.176050e-001, 2.215523e-011, 1.621848e-005, 1.377826e-006, 8.239680e-007, 3.351227e-001, 2.486494e-006, 3.455470e-015, 3.165470e-011, 4.062320e-015, 1.391958e-017, -1.080598e-021, 1.034843e-011, 3.499283e-014, 4.423662e-001, 1.291132e-001, 2.575429e+001
4.962875e+000, 9.999997e-001, 1.059973e-003, 1.218080e+002, 1.000000e+000, 1.111408e+005, 5.860726e-015, 6.221537e-005, 6.221537e-005, 3.840489e-006, 9.986082e-001, 2.968854e+002, 1.022999e-001, 3.409325e-011, 2.782000e-008, 1.179438e-001, 1.607445e-010, 4.048651e-005, 3.668870e-006, 2.145896e-006, 3.360690e-001, 7.852221e-006, 2.905683e-014, 1.010004e-010, 1.729732e-014, 4.310670e-017, 2.707608e-021, 2.779972e-011, 1.113383e-013, 4.436331e-001, 1.291132e-001, 2.582271e+001
4.967000e+000, 9.999997e-001, 1.053867e-003, 1.225137e+002, 1.000000e+000, 9.707991e+005, 3.375078e-014, 1.250723e-004, 1.250723e-004, 7.092431e-006, 9.978438e-001, 2.998544e+002, 9.821163e-002, 4.451483e-010, 7.551427e-008, 1.184607e-001, 1.541724e-009, 1.156641e-004, 1.134643e-005, 6.408395e-006, 3.375355e-001, 2.929260e-005, 3.820162e-013, 3.808782e-010, 7.042424e-014, 1.595499e-016, 2.425722e-020, 8.694142e-011, 4.186568e-013, 4.456294e-001, 1.291132e-001, 2.593070e+001
4.969062e+000, 9.999997e-001, 1.044732e-003, 1.235850e+002, 1.000000e+000, 4.307103e+006, 4.280504e-013, 1.912245e-004, 1.912245e-004, 1.005105e-005, 9.972126e-001, 3.033541e+002, 9.535574e-002, 4.076238e-009, 1.407238e-007, 1.187932e-001, 8.956712e-009, 2.115096e-004, 2.222782e-005, 1.185658e-005, 3.385224e-001, 6.376762e-005, 3.525919e-012, 8.351170e-010, 1.561208e-013, 4.980764e-016, 3.988591e-019, 1.723362e-010, 9.165639e-013, 4.470191e-001, 1.291132e-001, 2.600595e+001
4.970094e+000, 9.999997e-001, 1.036502e-003, 1.245662e+002, 1.000000e+000, 1.178394e+007, 1.359888e-012, 2.448979e-004, 2.448979e-004, 1.216881e-005, 9.967730e-001, 3.062791e+002, 9.368531e-002, 1.725656e-008, 2.032789e-007, 1.189654e-001, 3.009824e-008, 2.958804e-004, 3.264142e-005, 1.658620e-005, 3.390735e-001, 9.978909e-005, 1.499935e-011, 1.313192e-009, 2.386090e-013, 1.066105e-015, 1.469429e-018, 2.559404e-010, 1.439933e-012, 4.478306e-001, 1.291132e-001, 2.604988e+001
4.971125e+000, 9.999997e-001, 1.024314e-003, 1.260484e+002, 1.000000e+000, 3.408955e+007, 5.798900e-012, 3.186030e-004, 3.186030e-004, 1.479349e-005, 9.962013e-001, 3.104943e+002, 9.185794e-002, 6.531946e-008, 3.044109e-007, 1.191241e-001, 1.012648e-007, 4.221598e-004, 4.921484e-005, 2.353820e-005, 3.396433e-001, 1.615108e-004, 5.718531e-011, 2.137447e-009, 3.676022e-013, 2.983443e-015, 7.389772e-018, 3.926844e-010, 2.342167e-012, 4.487178e-001, 1.291132e-001, 2.609786e+001
4.972156e+000, 9.999997e-001, 1.006754e-003, 1.282471e+002, 1.000000e+000, 1.035052e+008, 2.286637e-011, 4.173721e-004, 4.173722e-004, 1.787262e-005, 9.954402e-001, 3.165341e+002, 8.989321e-002, 2.423954e-007, 4.754223e-007, 1.192457e-001, 3.494660e-007, 6.095726e-004, 7.529102e-005, 3.344365e-005, 3.402035e-001, 2.661740e-004, 2.141501e-010, 3.545676e-009, 5.664623e-013, 8.586610e-015, 3.504705e-017, 6.187083e-010, 3.883639e-012, 4.496720e-001, 1.291132e-001, 2.614940e+001
4.972672e+000, 9.999997e-001, 9.952771e-004, 1.297259e+002, 1.000000e+000, 1.931509e+008, 4.820393e-011, 4.808930e-004, 4.808930e-004, 1.957926e-005, 9.949565e-001, 3.205119e+002, 8.887244e-002, 4.992887e-007, 6.114854e-007, 1.192793e-001, 6.993718e-007, 7.363970e-004, 9.354788e-005, 3.973086e-005, 3.404633e-001, 3.449938e-004, 4.431465e-010, 4.615594e-009, 7.047182e-013, 1.512542e-014, 8.180346e-017, 7.893070e-010, 5.055146e-012, 4.501685e-001, 1.291132e-001, 2.617618e+001
4.973187e+000, 9.999997e-001, 9.816189e-004, 1.315309e+002, 1.000000e+000, 3.506583e+008, 1.016038e-010, 5.553153e-004, 5.553154e-004, 2.137210e-005, 9.943802e-001, 3.253090e+002, 8.783711e-002, 9.789879e-007, 7.990263e-007, 1.192846e-001, 1.357780e-006, 8.922784e-004, 1.162310e-004, 4.704055e-005, 3.406970e-001, 4.496988e-004, 8.742979e-010, 6.047895e-009, 8.776176e-013, 2.672960e-014, 1.923251e-016, 1.016656e-009, 6.624985e-012, 4.506729e-001, 1.291132e-001, 2.620337e+001
4.973703e+000, 9.999997e-001, 9.655575e-004, 1.337188e+002, 1.000000e+000, 6.248002e+008, 2.118341e-010, 6.416032e-004, 6.416035e-004, 2.321282e-005, 9.936912e-001, 3.310659e+002, 8.679650e-002, 1.866617e-006, 1.060734e-006, 1.192536e-001, 2.582117e-006, 1.082843e-003, 1.437500e-004, 5.534265e-005, 3.408938e-001, 5.876752e-004, 1.677951e-009, 7.954132e-009, 1.092631e-012, 4.634985e-014, 4.506123e-016, 1.320025e-009, 8.717083e-012, 4.511810e-001, 1.291132e-001, 2.623075e+001
4.974219e+000, 9.999997e-001, 9.469246e-004, 1.363500e+002, 1.000000e+000, 1.090459e+009, 4.359877e-010, 7.405770e-004, 7.405777e-004, 2.506103e-005, 9.928660e-001, 3.379321e+002, 8.576079e-002, 3.471076e-006, 1.429646e-006, 1.191773e-001, 4.803861e-006, 1.314308e-003, 1.760941e-004, 6.450203e-005, 3.410414e-001, 7.677157e-004, 3.140876e-009, 1.047373e-008, 1.358414e-012, 7.790726e-014, 1.049819e-015, 1.724721e-009, 1.148749e-011, 4.516882e-001, 1.291132e-001, 2.625808e+001
4.974477e+000, 9.999997e-001, 9.365773e-004, 1.378564e+002, 1.000000e+000, 1.438824e+009, 6.358777e-010, 7.958238e-004, 7.958247e-004, 2.598176e-005, 9.923922e-001, 3.418419e+002, 8.524886e-002, 4.729893e-006, 1.672253e-006, 1.191184e-001, 6.546782e-006, 1.448024e-003, 1.938241e-004, 6.930823e-005, 3.410917e-001, 8.774317e-004, 4.291987e-009, 1.202981e-008, 1.515250e-012, 1.009052e-013, 1.633669e-015, 1.977496e-009, 1.320311e-011, 4.519395e-001, 1.291132e-001, 2.627163e+001
