Distance_Run#13_(cm), Pressure_Run#13_(atm), Mass_density_Run#13_(g/cm3), Axial_velocity_Run#13_(cm/sec), Cross-section_area_Run#13_(cm2), Net_heat_production_from_gas-phase_reactions_Run#13_(erg/cm3-sec), EINO_Run#13_(g-NO/kg-fuel), EINO2_Run#13_(g-NO2/kg-fuel), EINOX_Run#13_(g-NOx/kg-fuel), EICO_Run#13_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#13_(), Temperature_Run#13_(K), Mole_fraction_H2_Run#13_(), Mole_fraction_H_Run#13_(), Mole_fraction_O_Run#13_(), Mole_fraction_O2_Run#13_(), Mole_fraction_OH_Run#13_(), Mole_fraction_H2O_Run#13_(), Mole_fraction_HO2_Run#13_(), Mole_fraction_H2O2_Run#13_(), Mole_fraction_CO_Run#13_(), Mole_fraction_CO2_Run#13_(), Mole_fraction_HCO_Run#13_(), Mole_fraction_CH2O_Run#13_(), Mole_fraction_N_Run#13_(), Mole_fraction_NH_Run#13_(), Mole_fraction_NNH_Run#13_(), Mole_fraction_NO_Run#13_(), Mole_fraction_N2O_Run#13_(), Mole_fraction_N2_Run#13_(), Flow_rate_Run#13_(g/cm2-sec), Molecular_weight_Run#13_(g/mole)
0.000000e+000, 9.999997e-001, 1.053424e-003, 1.244002e+002, 1.000000e+000, -8.491358e-003, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 1.141304e-001, -1.759175e-019, -4.151251e-020, 1.141304e-001, -4.727053e-020, 6.174303e-015, -1.641009e-013, 8.136234e-014, 3.423913e-001, 1.829710e-016, -2.325069e-020, -2.060505e-020, -4.318758e-020, -5.076512e-020, -3.047973e-020, -4.694138e-020, -2.313552e-020, 4.293478e-001, 1.310462e-001, 2.550018e+001
2.475250e+000, 9.999997e-001, 1.053424e-003, 1.244002e+002, 1.000000e+000, 3.070977e-004, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 1.141302e-001, 7.625889e-023, 5.966631e-018, 1.141305e-001, 2.100291e-022, 7.995039e-012, -2.298739e-010, 1.147388e-010, 3.423914e-001, 3.377910e-013, 4.176793e-025, 4.593476e-018, 1.463776e-022, 6.645454e-024, 5.917176e-027, -2.331513e-017, 3.571451e-020, 4.293479e-001, 1.310462e-001, 2.550018e+001
4.851490e+000, 9.999997e-001, 1.053499e-003, 1.243913e+002, 1.000000e+000, 5.279457e+002, 3.068962e-017, -8.672720e-006, -8.672720e-006, 1.369910e-007, 9.999891e-001, 2.950017e+002, 1.140562e-001, -1.089095e-017, 2.130622e-013, 1.141403e-001, -7.033512e-017, 9.740923e-009, -3.027332e-007, 1.521248e-007, 3.424199e-001, 5.862524e-010, -9.812490e-021, 7.869393e-015, 3.108902e-021, 1.999964e-021, 1.137089e-025, -3.107896e-014, 7.112655e-018, 4.293838e-001, 1.310462e-001, 2.550215e+001
4.900995e+000, 9.999997e-001, 1.053796e-003, 1.243563e+002, 1.000000e+000, 5.413194e+002, 4.962169e-016, 1.807275e-006, 1.807275e-006, 3.860904e-007, 9.999445e-001, 2.950108e+002, 1.137551e-001, -3.642877e-015, 7.029558e-011, 1.141797e-001, -2.357006e-014, 1.385280e-007, -2.984378e-007, 1.609034e-007, 3.425357e-001, 1.149428e-008, -3.282846e-018, 1.580150e-013, 1.062614e-018, 8.922065e-020, 9.314715e-024, 3.281185e-014, 1.305651e-016, 4.295295e-001, 1.310462e-001, 2.551013e+001
4.950500e+000, 9.999997e-001, 1.055984e-003, 1.240986e+002, 1.000000e+000, 1.069181e+003, -8.942505e-016, 1.265696e-005, 1.265696e-005, 1.231285e-006, 9.995462e-001, 2.952187e+002, 1.110776e-001, 3.591768e-014, 2.316678e-009, 1.145299e-001, 1.081148e-013, 3.605896e-006, 8.544158e-010, 3.298156e-007, 3.435641e-001, 4.238005e-007, 3.237423e-017, 5.931312e-012, 1.567920e-016, 2.458391e-018, -1.377475e-022, 1.885656e-012, 4.821893e-015, 4.308240e-001, 1.310462e-001, 2.558111e+001
4.958750e+000, 9.999997e-001, 1.056974e-003, 1.239824e+002, 1.000000e+000, 1.066552e+004, 3.167669e-015, 2.667684e-005, 2.667684e-005, 2.412261e-006, 9.991694e-001, 2.956982e+002, 1.086028e-001, 2.492765e-012, 9.964100e-009, 1.148526e-001, 1.249478e-011, 1.291002e-005, 8.675439e-007, 8.201546e-007, 3.445103e-001, 1.965610e-006, 2.245836e-015, 2.788444e-011, 2.992971e-015, 1.088053e-017, 8.953982e-022, 7.293218e-012, 2.264689e-014, 4.320177e-001, 1.310462e-001, 2.564667e+001
4.962875e+000, 9.999997e-001, 1.056392e-003, 1.240507e+002, 1.000000e+000, 7.234054e+004, -1.303463e-014, 4.909252e-005, 4.909252e-005, 4.165686e-006, 9.987850e-001, 2.965952e+002, 1.061983e-001, 2.437592e-011, 2.440798e-008, 1.151622e-001, 1.071726e-010, 3.256474e-005, 2.829989e-006, 1.919095e-006, 3.454217e-001, 6.279866e-006, 2.200484e-014, 9.002038e-011, 1.291392e-014, 2.598246e-017, -5.403252e-021, 1.968251e-011, 7.290980e-014, 4.331743e-001, 1.310462e-001, 2.571030e+001
4.967000e+000, 9.999997e-001, 1.051556e-003, 1.246212e+002, 1.000000e+000, 6.924072e+005, 9.157229e-014, 9.901673e-005, 9.901673e-005, 7.768184e-006, 9.981123e-001, 2.991350e+002, 1.023574e-001, 3.297183e-010, 6.559879e-008, 1.156410e-001, 1.075918e-009, 9.420566e-005, 9.441904e-006, 5.527320e-006, 3.468529e-001, 2.374926e-005, 2.994763e-013, 3.441758e-010, 5.366180e-014, 1.355241e-016, 5.920938e-020, 6.192178e-011, 2.781368e-013, 4.350158e-001, 1.310462e-001, 2.581177e+001
4.969062e+000, 9.999997e-001, 1.043946e-003, 1.255296e+002, 1.000000e+000, 3.154410e+006, 2.162605e-013, 1.516677e-004, 1.516677e-004, 1.110128e-005, 9.975594e-001, 3.021494e+002, 9.964748e-002, 3.025461e-009, 1.206679e-007, 1.159549e-001, 6.244607e-009, 1.737682e-004, 1.882942e-005, 1.024257e-005, 3.478314e-001, 5.222187e-005, 2.767735e-012, 7.623147e-010, 1.201535e-013, 2.863450e-016, 1.812898e-019, 1.229695e-010, 6.147047e-013, 4.363110e-001, 1.310462e-001, 2.588321e+001
4.971125e+000, 9.999997e-001, 1.027966e-003, 1.274810e+002, 1.000000e+000, 1.770306e+007, 2.530067e-012, 2.396948e-004, 2.396949e-004, 1.601351e-005, 9.967238e-001, 3.078913e+002, 9.629661e-002, 2.823220e-008, 2.405607e-007, 1.162930e-001, 4.416640e-008, 3.354068e-004, 3.967271e-005, 1.977513e-005, 3.489829e-001, 1.227856e-004, 2.609592e-011, 1.807100e-009, 2.713745e-013, 1.336459e-015, 2.856813e-018, 2.617682e-010, 1.454980e-012, 4.379095e-001, 1.310462e-001, 2.597134e+001
