Distance_Run#14_(cm), Pressure_Run#14_(atm), Mass_density_Run#14_(g/cm3), Axial_velocity_Run#14_(cm/sec), Cross-section_area_Run#14_(cm2), Net_heat_production_from_gas-phase_reactions_Run#14_(erg/cm3-sec), EINO_Run#14_(g-NO/kg-fuel), EINO2_Run#14_(g-NO2/kg-fuel), EINOX_Run#14_(g-NOx/kg-fuel), EICO_Run#14_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#14_(), Temperature_Run#14_(K), Mole_fraction_H2_Run#14_(), Mole_fraction_H_Run#14_(), Mole_fraction_O_Run#14_(), Mole_fraction_O2_Run#14_(), Mole_fraction_OH_Run#14_(), Mole_fraction_H2O_Run#14_(), Mole_fraction_HO2_Run#14_(), Mole_fraction_H2O2_Run#14_(), Mole_fraction_CO_Run#14_(), Mole_fraction_CO2_Run#14_(), Mole_fraction_HCO_Run#14_(), Mole_fraction_CH2O_Run#14_(), Mole_fraction_N_Run#14_(), Mole_fraction_NH_Run#14_(), Mole_fraction_NNH_Run#14_(), Mole_fraction_NO_Run#14_(), Mole_fraction_N2O_Run#14_(), Mole_fraction_N2_Run#14_(), Flow_rate_Run#14_(g/cm2-sec), Molecular_weight_Run#14_(g/mole)
0.000000e+000, 9.999997e-001, 1.049747e-003, 1.262207e+002, 1.000000e+000, -4.467229e-002, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 1.171626e-001, -9.320617e-019, -2.513888e-019, 1.115834e-001, -2.506994e-019, 4.406583e-015, 2.836605e-016, 1.588551e-016, 3.514878e-001, 1.246482e-016, -1.233364e-019, -1.202384e-019, -2.290291e-019, -2.692208e-019, -1.616724e-019, -1.600554e-019, -1.227670e-019, 4.197662e-001, 1.324997e-001, 2.541117e+001
2.475250e+000, 9.999997e-001, 1.049747e-003, 1.262206e+002, 1.000000e+000, 1.788820e-006, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 1.171624e-001, 8.242844e-023, 3.737149e-018, 1.115834e-001, 1.967750e-022, 5.776479e-012, 4.024337e-013, 2.269837e-013, 3.514878e-001, 2.331078e-013, 1.532976e-024, 3.968179e-018, 5.800935e-022, 2.473408e-023, 2.425405e-026, 2.225199e-018, 1.259621e-019, 4.197663e-001, 1.324997e-001, 2.541118e+001
4.851490e+000, 9.999997e-001, 1.049816e-003, 1.262123e+002, 1.000000e+000, 6.546211e-002, -4.350383e-016, 8.863413e-007, 8.863413e-007, 1.361653e-007, 9.999908e-001, 2.950007e+002, 1.170972e-001, 1.760935e-018, 1.359078e-013, 1.115918e-001, 4.881426e-018, 7.124488e-009, 5.368803e-010, 3.048520e-010, 3.515137e-001, 4.094902e-010, 1.593028e-021, 6.028476e-015, -3.312662e-020, -1.806395e-022, -1.397392e-024, 2.753595e-015, -3.036377e-018, 4.197973e-001, 1.324997e-001, 2.541291e+001
4.900995e+000, 9.999997e-001, 1.050085e-003, 1.261801e+002, 1.000000e+000, 2.486810e+001, 1.756482e-015, 2.716082e-006, 2.716082e-006, 3.885690e-007, 9.999526e-001, 2.950080e+002, 1.168283e-001, 7.953115e-016, 5.191988e-011, 1.116263e-001, 2.458125e-015, 1.024766e-007, 8.321177e-009, 4.741001e-009, 3.516203e-001, 8.116691e-009, 7.591256e-019, 1.231193e-013, 1.190938e-018, 7.496024e-020, 2.891667e-023, 4.324697e-014, 7.229774e-017, 4.199250e-001, 1.324997e-001, 2.542003e+001
4.950500e+000, 9.999997e-001, 1.052142e-003, 1.259333e+002, 1.000000e+000, 1.268509e+003, 1.121447e-015, 9.412027e-006, 9.412027e-006, 1.238887e-006, 9.996072e-001, 2.951751e+002, 1.144042e-001, 1.249815e-013, 1.834147e-009, 1.119374e-001, 6.074876e-013, 2.699818e-006, 2.371818e-007, 1.358842e-007, 3.525799e-001, 3.025622e-007, 1.188952e-016, 4.677745e-012, 1.103266e-016, 1.802287e-018, 1.534781e-022, 1.245831e-012, 2.877268e-015, 4.210751e-001, 1.324997e-001, 2.548427e+001
4.958750e+000, 9.999997e-001, 1.053243e-003, 1.258017e+002, 1.000000e+000, 1.020202e+004, -2.296893e-014, 1.991220e-005, 1.991220e-005, 2.436628e-006, 9.992774e-001, 2.955627e+002, 1.121326e-001, 2.118276e-012, 8.240951e-009, 1.122283e-001, 1.031248e-011, 9.750878e-006, 9.167179e-007, 5.164372e-007, 3.534759e-001, 1.415403e-006, 2.014824e-015, 2.219988e-011, 2.065935e-015, 3.123844e-018, -5.796099e-021, 4.859847e-012, 1.357113e-014, 4.221506e-001, 1.324997e-001, 2.554444e+001
4.962875e+000, 9.999997e-001, 1.053079e-003, 1.258213e+002, 1.000000e+000, 5.564543e+004, 6.459473e-014, 3.687942e-005, 3.687942e-005, 4.233151e-006, 9.989405e-001, 2.962914e+002, 1.099036e-001, 1.726725e-011, 2.046370e-008, 1.125108e-001, 7.438064e-011, 2.479494e-005, 2.474739e-006, 1.375763e-006, 3.543490e-001, 4.561482e-006, 1.645567e-014, 7.232008e-011, 9.316445e-015, 3.479698e-017, 2.395380e-020, 1.322726e-011, 4.430464e-014, 4.232034e-001, 1.324997e-001, 2.560342e+001
4.967000e+000, 9.999997e-001, 1.049643e-003, 1.262331e+002, 1.000000e+000, 4.732281e+005, -3.184158e-014, 7.501778e-005, 7.501778e-005, 7.973121e-006, 9.983541e-001, 2.983646e+002, 1.063070e-001, 2.092614e-010, 5.528258e-008, 1.129548e-001, 6.882448e-010, 7.244118e-005, 7.770808e-006, 4.226490e-006, 3.557391e-001, 1.743396e-005, 2.004372e-013, 2.795040e-010, 3.870569e-014, 5.332194e-017, -1.841127e-020, 4.195287e-011, 1.703607e-013, 4.248972e-001, 1.324997e-001, 2.569846e+001
4.969062e+000, 9.999997e-001, 1.043756e-003, 1.269451e+002, 1.000000e+000, 2.040732e+006, 2.146035e-013, 1.154630e-004, 1.154630e-004, 1.150453e-005, 9.978777e-001, 3.008376e+002, 1.037413e-001, 1.777008e-009, 1.008023e-007, 1.132533e-001, 3.675085e-009, 1.345726e-004, 1.531748e-005, 8.013184e-006, 3.567068e-001, 3.864765e-005, 1.713096e-012, 6.241989e-010, 8.817004e-014, 2.009973e-016, 1.604234e-019, 8.347991e-011, 3.799380e-013, 4.261020e-001, 1.324997e-001, 2.576613e+001
4.971125e+000, 9.999997e-001, 1.030944e-003, 1.285227e+002, 1.000000e+000, 1.100796e+007, 1.335891e-012, 1.836782e-004, 1.836782e-004, 1.683834e-005, 9.971679e-001, 3.055746e+002, 1.005321e-001, 1.615517e-008, 1.975342e-007, 1.135880e-001, 2.467939e-008, 2.621273e-004, 3.213972e-005, 1.581718e-005, 3.578716e-001, 9.183800e-005, 1.571458e-011, 1.495569e-009, 2.016961e-013, 6.684089e-016, 1.337001e-018, 1.777979e-010, 9.087266e-013, 4.276061e-001, 1.324997e-001, 2.585059e+001
