Distance_Run#7_(cm), Pressure_Run#7_(atm), Mass_density_Run#7_(g/cm3), Axial_velocity_Run#7_(cm/sec), Cross-section_area_Run#7_(cm2), Net_heat_production_from_gas-phase_reactions_Run#7_(erg/cm3-sec), EINO_Run#7_(g-NO/kg-fuel), EINO2_Run#7_(g-NO2/kg-fuel), EINOX_Run#7_(g-NOx/kg-fuel), EICO_Run#7_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#7_(), Temperature_Run#7_(K), Mole_fraction_H2_Run#7_(), Mole_fraction_H_Run#7_(), Mole_fraction_O_Run#7_(), Mole_fraction_O2_Run#7_(), Mole_fraction_OH_Run#7_(), Mole_fraction_H2O_Run#7_(), Mole_fraction_HO2_Run#7_(), Mole_fraction_H2O2_Run#7_(), Mole_fraction_CO_Run#7_(), Mole_fraction_CO2_Run#7_(), Mole_fraction_HCO_Run#7_(), Mole_fraction_CH2O_Run#7_(), Mole_fraction_N_Run#7_(), Mole_fraction_NH_Run#7_(), Mole_fraction_NNH_Run#7_(), Mole_fraction_NO_Run#7_(), Mole_fraction_NO2_Run#7_(), Mole_fraction_N2O_Run#7_(), Mole_fraction_N2_Run#7_(), Flow_rate_Run#7_(g/cm2-sec), Molecular_weight_Run#7_(g/mole)
0.000000e+000, 9.999997e-001, 1.079569e-003, 1.015964e+002, 1.000000e+000, -1.313664e-002, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 9.256927e-002, -2.589321e-019, -6.220922e-020, 1.322418e-001, -6.912726e-020, 1.296952e-014, -1.941916e-013, 9.632540e-014, 2.777078e-001, 3.139110e-016, -3.395247e-020, -3.194967e-020, -6.318757e-020, -7.425709e-020, -4.452875e-020, -1.173066e-019, 2.631933e-020, -3.377886e-020, 4.974811e-001, 1.096803e-001, 2.613308e+001
2.475250e+000, 9.999997e-001, 1.079570e-003, 1.015964e+002, 1.000000e+000, 2.964038e-004, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 9.256894e-002, 5.416624e-023, 6.129835e-018, 1.322419e-001, 2.023752e-022, 1.394019e-011, -2.259676e-010, 1.128456e-010, 2.777079e-001, 4.816770e-013, 9.297714e-026, 2.680178e-018, 3.655451e-023, 3.167906e-024, 1.143419e-027, -8.557042e-017, 8.888855e-017, 3.074816e-020, 4.974813e-001, 1.096803e-001, 2.613309e+001
4.851490e+000, 9.999997e-001, 1.079673e-003, 1.015866e+002, 1.000000e+000, 3.519311e+002, 6.503596e-017, -1.789290e-005, -1.789290e-005, 3.139704e-008, 9.999801e-001, 2.950015e+002, 9.246938e-002, -5.520832e-018, 1.767113e-013, 1.322567e-001, -5.251878e-017, 1.409857e-008, -2.471683e-007, 1.242724e-007, 2.777382e-001, 6.950014e-010, -3.319240e-021, 3.916604e-015, 1.206301e-020, 5.839363e-021, 3.553173e-025, -9.454788e-014, 1.160931e-013, 3.391140e-017, 4.975358e-001, 1.096803e-001, 2.613573e+001
4.900995e+000, 9.999997e-001, 1.080007e-003, 1.015552e+002, 1.000000e+000, 3.629761e+002, 1.975064e-015, 2.905064e-006, 2.905064e-006, 8.648986e-008, 9.999140e-001, 2.950097e+002, 9.213860e-002, -1.779637e-015, 4.856187e-011, 1.323056e-001, -1.663153e-014, 1.688258e-007, -2.454362e-007, 1.316551e-007, 2.778389e-001, 1.148389e-008, -1.073286e-018, 6.574162e-014, 2.202846e-018, 2.397358e-019, 4.663364e-023, 6.634103e-014, 2.312561e-013, 5.339062e-016, 4.977168e-001, 1.096803e-001, 2.614453e+001
4.925747e+000, 9.999997e-001, 1.080844e-003, 1.014766e+002, 1.000000e+000, 3.812406e+002, 2.976201e-016, 2.081661e-005, 2.081661e-005, 2.347571e-007, 9.997197e-001, 2.950704e+002, 9.117345e-002, -1.250448e-014, 5.402376e-010, 1.324484e-001, -1.269213e-013, 1.493102e-006, -1.843915e-007, 1.775731e-007, 2.781321e-001, 1.406233e-007, -7.549121e-018, 8.167877e-013, 5.050794e-017, 2.053902e-018, 2.293016e-023, 1.551183e-012, 1.505018e-012, 6.517038e-015, 4.982444e-001, 1.096803e-001, 2.617018e+001
4.950500e+000, 9.999997e-001, 1.082984e-003, 1.012761e+002, 1.000000e+000, 5.158391e+003, -5.773971e-015, 6.845657e-005, 6.845657e-005, 6.755761e-007, 9.988862e-001, 2.956990e+002, 8.711916e-002, 7.946663e-013, 6.209866e-009, 1.330482e-001, 6.251164e-012, 1.706503e-005, 6.067282e-007, 7.525603e-007, 2.793569e-001, 2.251336e-006, 4.794843e-016, 1.325609e-011, 2.088573e-015, 2.517543e-017, -1.774864e-021, 2.035232e-011, 2.069654e-011, 1.052461e-013, 5.004550e-001, 1.096803e-001, 2.627785e+001
4.954625e+000, 9.999997e-001, 1.082571e-003, 1.013146e+002, 1.000000e+000, 2.520368e+004, 1.738817e-014, 1.114037e-004, 1.114037e-004, 1.035090e-006, 9.984698e-001, 2.963815e+002, 8.521005e-002, 5.460006e-012, 1.366873e-008, 1.333284e-001, 4.071101e-011, 3.587943e-005, 1.649586e-006, 1.492398e-006, 2.799253e-001, 5.738762e-006, 3.298241e-015, 3.406882e-011, 1.069567e-014, 6.922115e-017, 7.357334e-021, 4.559054e-011, 4.896346e-011, 2.700912e-013, 5.014915e-001, 1.096803e-001, 2.632847e+001
4.958750e+000, 9.999997e-001, 1.079297e-003, 1.016220e+002, 1.000000e+000, 1.689916e+005, 7.332540e-015, 2.043030e-004, 2.043030e-004, 1.762261e-006, 9.977901e-001, 2.981345e+002, 8.235305e-002, 4.143709e-011, 3.241616e-008, 1.337389e-001, 2.874908e-010, 8.809331e-005, 4.737350e-006, 3.647870e-006, 2.807571e-001, 1.807621e-005, 2.509969e-014, 1.083708e-010, 4.027637e-014, 1.883726e-016, 4.493673e-021, 1.210961e-010, 1.408463e-010, 8.570064e-013, 5.030364e-001, 1.096803e-001, 2.640409e+001
4.962875e+000, 9.999997e-001, 1.067685e-003, 1.027273e+002, 1.000000e+000, 1.333262e+006, 3.264641e-014, 3.857044e-004, 3.857044e-004, 3.041021e-006, 9.966230e-001, 3.026372e+002, 7.816731e-002, 4.404574e-010, 8.308026e-008, 1.343074e-001, 2.434375e-009, 2.318640e-004, 1.400083e-005, 9.795365e-006, 2.819205e-001, 6.139634e-005, 2.692248e-013, 3.715868e-010, 1.445023e-013, 7.173524e-016, 3.070105e-020, 3.508171e-010, 4.315568e-010, 2.931994e-012, 5.052877e-001, 1.096803e-001, 2.651451e+001
4.964937e+000, 9.999997e-001, 1.053585e-003, 1.041020e+002, 1.000000e+000, 4.964176e+006, 3.500201e-013, 5.594733e-004, 5.594733e-004, 4.056808e-006, 9.956632e-001, 3.075201e+002, 7.542704e-002, 3.307691e-009, 1.509804e-007, 1.346358e-001, 1.237498e-008, 3.962255e-004, 2.599166e-005, 1.677489e-005, 2.826208e-001, 1.230584e-004, 2.042965e-012, 7.492150e-010, 2.927414e-013, 2.185016e-015, 4.238607e-019, 6.552663e-010, 7.891122e-010, 5.905550e-012, 5.067542e-001, 1.096803e-001, 2.658650e+001
