Distance_Run#3_(cm), Pressure_Run#3_(atm), Mass_density_Run#3_(g/cm3), Axial_velocity_Run#3_(cm/sec), Cross-section_area_Run#3_(cm2), Net_heat_production_from_gas-phase_reactions_Run#3_(erg/cm3-sec), EINO_Run#3_(g-NO/kg-fuel), EINO2_Run#3_(g-NO2/kg-fuel), EINOX_Run#3_(g-NOx/kg-fuel), EICO_Run#3_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#3_(), Temperature_Run#3_(K), Mole_fraction_H2_Run#3_(), Mole_fraction_H_Run#3_(), Mole_fraction_O_Run#3_(), Mole_fraction_O2_Run#3_(), Mole_fraction_OH_Run#3_(), Mole_fraction_H2O_Run#3_(), Mole_fraction_HO2_Run#3_(), Mole_fraction_H2O2_Run#3_(), Mole_fraction_CO_Run#3_(), Mole_fraction_CO2_Run#3_(), Mole_fraction_HCO_Run#3_(), Mole_fraction_CH2O_Run#3_(), Mole_fraction_N_Run#3_(), Mole_fraction_NH_Run#3_(), Mole_fraction_NNH_Run#3_(), Mole_fraction_NO_Run#3_(), Mole_fraction_NO2_Run#3_(), Mole_fraction_N2O_Run#3_(), Mole_fraction_N2_Run#3_(), Flow_rate_Run#3_(g/cm2-sec), Molecular_weight_Run#3_(g/mole)
0.000000e+000, 9.999997e-001, 1.102155e-003, 7.060482e+001, 1.000000e+000, -2.704945e-002, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 7.394366e-002, -5.107959e-019, -1.383376e-019, 1.478873e-001, -1.357596e-019, 1.779674e-015, 2.481840e-017, 2.685189e-017, 2.218310e-001, 3.404085e-017, -6.661156e-020, -6.544267e-020, -1.241481e-019, -1.458624e-019, -8.738969e-020, -8.466525e-020, -7.205371e-020, -6.615478e-020, 5.563380e-001, 7.781745e-002, 2.667981e+001
2.475250e+000, 9.999997e-001, 1.102155e-003, 7.060481e+001, 1.000000e+000, 2.835271e-008, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 7.394362e-002, 1.367532e-023, 3.344488e-020, 1.478873e-001, 5.282238e-023, 1.348276e-012, 2.043927e-014, 2.225789e-014, 2.218310e-001, 3.692137e-014, 7.110405e-025, 6.834974e-019, 6.051103e-022, 2.530329e-023, 1.445038e-026, 2.217960e-018, 1.743585e-018, 1.460530e-019, 5.563381e-001, 7.781745e-002, 2.667981e+001
3.663370e+000, 9.999997e-001, 1.102159e-003, 7.060458e+001, 1.000000e+000, 3.080074e-005, 3.505433e-016, 3.070890e-006, 3.070890e-006, 5.205527e-009, 9.999991e-001, 2.950000e+002, 7.394025e-002, 6.735307e-022, 1.008634e-016, 1.478879e-001, 3.867087e-021, 3.638378e-010, 5.972399e-012, 6.549166e-012, 2.218318e-001, 1.422372e-011, 3.683637e-024, 2.767356e-017, 2.912314e-021, 2.664919e-022, 6.974156e-026, 5.909117e-016, 5.550333e-016, 3.228501e-018, 5.563401e-001, 7.781745e-002, 2.667990e+001
4.851490e+000, 9.999997e-001, 1.102542e-003, 7.058002e+001, 1.000000e+000, 2.166075e-001, -1.524209e-016, 1.122430e-005, 1.122430e-005, 1.133860e-008, 9.999013e-001, 2.950054e+002, 7.357364e-002, 3.843878e-018, 6.099135e-013, 1.479472e-001, 2.450967e-017, 1.323989e-007, 2.354238e-009, 2.599106e-009, 2.219191e-001, 7.394042e-009, 1.436230e-021, 1.347972e-014, -1.348790e-019, 1.228177e-019, -3.298592e-024, 2.349371e-013, 2.611358e-013, 1.452730e-015, 5.565599e-001, 7.781745e-002, 2.668967e+001
4.900995e+000, 9.999997e-001, 1.103358e-003, 7.052780e+001, 1.000000e+000, 2.779194e+001, -4.380809e-016, 3.229762e-005, 3.229762e-005, 3.129648e-008, 9.996672e-001, 2.950436e+002, 7.270154e-002, 7.880639e-016, 8.092705e-011, 1.480886e-001, 6.536780e-015, 1.179048e-006, 2.264886e-008, 2.493685e-008, 2.221264e-001, 9.073547e-008, 3.256721e-019, 1.683548e-013, 3.201394e-018, 2.442169e-018, -3.200605e-023, 2.282215e-012, 2.913718e-012, 1.817034e-014, 5.570822e-001, 7.781745e-002, 2.671289e+001
4.925747e+000, 9.999997e-001, 1.104645e-003, 7.044565e+001, 1.000000e+000, 3.922232e+002, 4.133593e-016, 8.870480e-005, 8.870480e-005, 7.995399e-008, 9.991481e-001, 2.952567e+002, 7.080527e-002, 2.466153e-014, 7.466479e-010, 1.483964e-001, 2.642414e-013, 7.646705e-006, 1.580549e-007, 1.743075e-007, 2.225741e-001, 8.085307e-007, 1.023571e-017, 1.519125e-012, 1.902657e-016, 1.933763e-017, 7.744785e-023, 1.607449e-011, 2.369412e-011, 1.635342e-013, 5.582154e-001, 7.781745e-002, 2.676337e+001
4.938124e+000, 9.999997e-001, 1.104971e-003, 7.042490e+001, 1.000000e+000, 3.734430e+003, 6.875705e-016, 1.975258e-004, 1.975258e-004, 1.655758e-007, 9.984250e-001, 2.959071e+002, 6.829017e-002, 3.910128e-013, 3.160348e-009, 1.488040e-001, 4.383817e-012, 2.922562e-005, 6.466544e-007, 7.089781e-007, 2.231586e-001, 4.077528e-006, 1.622084e-016, 7.740780e-012, 2.444374e-015, 8.444125e-017, 2.387631e-022, 6.634102e-011, 1.097772e-010, 8.310690e-013, 5.597126e-001, 7.781745e-002, 2.683022e+001
4.950500e+000, 9.999997e-001, 1.099967e-003, 7.074524e+001, 1.000000e+000, 6.813192e+004, 4.016927e-015, 4.753310e-004, 4.753310e-004, 3.636378e-007, 9.967601e-001, 2.987819e+002, 6.308397e-002, 8.361143e-012, 1.464434e-008, 1.496355e-001, 9.304258e-011, 1.320115e-004, 3.182001e-006, 3.416404e-006, 2.243241e-001, 2.495259e-005, 3.477381e-015, 4.788562e-011, 2.635687e-014, 4.878414e-016, 2.884156e-021, 3.300877e-010, 6.086311e-010, 5.126890e-012, 5.627929e-001, 7.781745e-002, 2.696821e+001
4.954625e+000, 9.999997e-001, 1.091570e-003, 7.128948e+001, 1.000000e+000, 2.708670e+005, -1.183391e-014, 7.342956e-004, 7.342956e-004, 5.137592e-007, 9.956350e-001, 3.019347e+002, 6.018334e-002, 3.991751e-011, 3.097055e-008, 1.500766e-001, 4.169575e-010, 2.510148e-004, 6.563079e-006, 6.631381e-006, 2.249232e-001, 5.657258e-005, 1.668445e-014, 1.092594e-010, 8.452574e-014, 1.161465e-015, -1.147982e-020, 6.889478e-010, 1.271161e-009, 1.168160e-011, 5.644961e-001, 7.781745e-002, 2.704473e+001
4.956688e+000, 9.999997e-001, 1.082998e-003, 7.185374e+001, 1.000000e+000, 6.204091e+005, 4.426479e-014, 9.593903e-004, 9.593903e-004, 6.280712e-007, 9.948030e-001, 3.048498e+002, 5.840619e-002, 1.107400e-010, 4.820135e-008, 1.503266e-001, 1.062532e-009, 3.647039e-004, 1.013175e-005, 9.747850e-006, 2.252548e-001, 9.308317e-005, 4.653854e-014, 1.805726e-010, 1.546458e-013, 2.206283e-015, 5.121366e-020, 1.073572e-009, 1.965876e-009, 1.929067e-011, 5.655346e-001, 7.781745e-002, 2.709141e+001
