Distance_Run#5_(cm), Pressure_Run#5_(atm), Mass_density_Run#5_(g/cm3), Axial_velocity_Run#5_(cm/sec), Cross-section_area_Run#5_(cm2), Net_heat_production_from_gas-phase_reactions_Run#5_(erg/cm3-sec), EINO_Run#5_(g-NO/kg-fuel), EINO2_Run#5_(g-NO2/kg-fuel), EINOX_Run#5_(g-NOx/kg-fuel), EICO_Run#5_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#5_(), Temperature_Run#5_(K), Mole_fraction_H2_Run#5_(), Mole_fraction_H_Run#5_(), Mole_fraction_O_Run#5_(), Mole_fraction_O2_Run#5_(), Mole_fraction_OH_Run#5_(), Mole_fraction_H2O_Run#5_(), Mole_fraction_HO2_Run#5_(), Mole_fraction_H2O2_Run#5_(), Mole_fraction_CO_Run#5_(), Mole_fraction_CO2_Run#5_(), Mole_fraction_HCO_Run#5_(), Mole_fraction_CH2O_Run#5_(), Mole_fraction_N_Run#5_(), Mole_fraction_NH_Run#5_(), Mole_fraction_NNH_Run#5_(), Mole_fraction_NO_Run#5_(), Mole_fraction_NO2_Run#5_(), Mole_fraction_N2O_Run#5_(), Mole_fraction_N2_Run#5_(), Flow_rate_Run#5_(g/cm2-sec), Molecular_weight_Run#5_(g/mole)
4.963906e+000, 9.999997e-001, 1.038301e-003, 9.192269e+001, 1.000000e+000, 1.138270e+007, 1.001840e-012, 1.185503e-003, 1.185503e-003, 2.530602e-006, 9.932711e-001, 3.160927e+002, 6.333139e-002, 1.064531e-008, 2.176835e-007, 1.424894e-001, 3.848998e-008, 7.530973e-004, 3.902828e-005, 2.622786e-005, 2.563004e-001, 2.690349e-004, 5.605896e-012, 1.011880e-009, 5.781904e-013, 1.166408e-014, 1.708770e-018, 1.955674e-009, 2.621524e-009, 2.572892e-011, 5.367912e-001, 9.544345e-002, 2.693121e+001
4.964937e+000, 9.999997e-001, 1.020286e-003, 9.354577e+001, 1.000000e+000, 2.638423e+007, 3.789499e-012, 1.448078e-003, 1.448078e-003, 2.864765e-006, 9.921875e-001, 3.221360e+002, 6.184633e-002, 3.637249e-008, 3.156541e-007, 1.425756e-001, 1.082531e-007, 9.856817e-004, 5.452541e-005, 3.399332e-005, 2.564969e-001, 3.901147e-004, 1.932628e-011, 1.472369e-009, 8.122325e-013, 2.605019e-014, 7.515101e-018, 2.777496e-009, 3.514161e-009, 3.743823e-011, 5.376164e-001, 9.544345e-002, 2.696990e+001
4.965969e+000, 9.999997e-001, 9.971810e-004, 9.571327e+001, 1.000000e+000, 6.603446e+007, 1.469834e-011, 1.775785e-003, 1.775785e-003, 3.215076e-006, 9.908002e-001, 3.300895e+002, 6.030769e-002, 1.247878e-007, 4.740180e-007, 1.426030e-001, 3.156576e-007, 1.295410e-003, 7.688640e-005, 4.385367e-005, 2.566298e-001, 5.699356e-004, 6.695024e-011, 2.158956e-009, 1.137866e-012, 5.963454e-014, 3.437583e-017, 4.016832e-009, 4.672595e-009, 5.491241e-011, 5.384725e-001, 9.544345e-002, 2.700995e+001
4.966484e+000, 9.999997e-001, 9.833518e-004, 9.705931e+001, 1.000000e+000, 1.117938e+008, 3.094154e-011, 1.975306e-003, 1.975306e-003, 3.393409e-006, 9.899557e-001, 3.349840e+002, 5.952636e-002, 2.460575e-007, 5.941118e-007, 1.425834e-001, 5.725491e-007, 1.487544e-003, 9.159087e-005, 4.959959e-005, 2.566602e-001, 6.915537e-004, 1.326203e-010, 2.625265e-009, 1.346702e-012, 9.215024e-014, 7.906742e-017, 4.882006e-009, 5.349946e-009, 6.679222e-011, 5.389084e-001, 9.544345e-002, 2.703031e+001
4.967000e+000, 9.999997e-001, 9.678415e-004, 9.861475e+001, 1.000000e+000, 1.872998e+008, 6.539586e-011, 2.201153e-003, 2.201153e-003, 3.571355e-006, 9.889867e-001, 3.406100e+002, 5.874259e-002, 4.654609e-007, 7.533693e-007, 1.425344e-001, 1.019444e-006, 1.709514e-003, 1.091272e-004, 5.590096e-005, 2.566585e-001, 8.409636e-004, 2.521587e-010, 3.200135e-009, 1.593276e-012, 1.410896e-013, 1.833712e-016, 5.969521e-009, 6.089595e-009, 8.145150e-011, 5.393468e-001, 9.544345e-002, 2.705078e+001
4.967516e+000, 9.999997e-001, 9.505920e-004, 1.004042e+002, 1.000000e+000, 3.114389e+008, 1.330604e-010, 2.455665e-003, 2.455665e-003, 3.746257e-006, 9.878751e-001, 3.470534e+002, 5.796039e-002, 8.592661e-007, 9.665627e-007, 1.424503e-001, 1.792098e-006, 1.964893e-003, 1.297141e-004, 6.269066e-005, 2.566190e-001, 1.023501e-003, 4.677563e-010, 3.905543e-009, 1.882540e-012, 2.124010e-013, 4.110730e-016, 7.337489e-009, 6.874214e-009, 9.945860e-011, 5.397859e-001, 9.544345e-002, 2.707126e+001
4.968031e+000, 9.999997e-001, 9.315851e-004, 1.024527e+002, 1.000000e+000, 5.120066e+008, 2.718222e-010, 2.741032e-003, 2.741033e-003, 3.916029e-006, 9.866013e-001, 3.544016e+002, 5.718380e-002, 1.551172e-006, 1.254301e-006, 1.423256e-001, 3.106951e-006, 2.257357e-003, 1.533806e-004, 6.985301e-005, 2.565352e-001, 1.245097e-003, 8.480812e-010, 4.766713e-009, 2.221855e-012, 3.151792e-013, 9.286823e-016, 9.057426e-009, 7.675365e-009, 1.214707e-010, 5.402238e-001, 9.544345e-002, 2.709170e+001
4.968547e+000, 9.999997e-001, 9.108519e-004, 1.047848e+002, 1.000000e+000, 8.280550e+008, 5.503469e-010, 3.058907e-003, 3.058908e-003, 4.078900e-006, 9.851448e-001, 3.627404e+002, 5.641678e-002, 2.734771e-006, 1.645016e-006, 1.421544e-001, 5.294966e-006, 2.590582e-003, 1.798494e-004, 7.721984e-005, 2.564008e-001, 1.512158e-003, 1.500486e-009, 5.812138e-009, 2.619059e-012, 4.593155e-013, 2.086227e-015, 1.121501e-008, 8.452160e-009, 1.482362e-010, 5.406586e-001, 9.544345e-002, 2.711202e+001
4.969062e+000, 9.999997e-001, 8.884819e-004, 1.074231e+002, 1.000000e+000, 1.311098e+009, 1.101243e-009, 3.409859e-003, 3.409861e-003, 4.233695e-006, 9.834848e-001, 3.721496e+002, 5.566288e-002, 4.700593e-006, 2.177248e-006, 1.419311e-001, 8.836274e-006, 2.968095e-003, 2.084234e-004, 8.457412e-005, 2.562092e-001, 1.831359e-003, 2.585129e-009, 7.073395e-009, 3.083503e-012, 6.555109e-013, 4.644473e-015, 1.390907e-008, 9.151873e-009, 1.805977e-010, 5.410886e-001, 9.544345e-002, 2.713215e+001
4.969578e+000, 9.999997e-001, 8.646282e-004, 1.103867e+002, 1.000000e+000, 2.023679e+009, 2.171580e-009, 3.792755e-003, 3.792758e-003, 4.379980e-006, 9.816014e-001, 3.826970e+002, 5.492505e-002, 7.865531e-006, 2.902002e-006, 1.416509e-001, 1.438372e-005, 3.393092e-003, 2.379167e-004, 9.166432e-005, 2.559544e-001, 2.209330e-003, 4.328913e-009, 8.584608e-009, 3.626995e-012, 9.145423e-013, 1.021053e-014, 1.724787e-008, 9.713628e-009, 2.194931e-010, 5.415124e-001, 9.544345e-002, 2.715204e+001
